Cluster Labels,Location,Avg Price,Latitude,Longitude,Profile Score,Profile
3,"ABERDARE, POWYS",292083,51.716154,-3.451816,2.3333333333333335,TDL
1,"ABERDARE, RHONDDA CYNON TAFF",128941,51.716154,-3.451816,2.3333333333333335,TDL
1,"ABERGAVENNY, BLAENAU GWENT",260000,51.7714428,-3.2458735,2.0,TMLA
3,"ABERGAVENNY, CARDIFF",180000,51.8220025,-3.0198044,3.0,WMA
3,"ABERGAVENNY, MONMOUTHSHIRE",236046,51.825366,-3.019423,3.0,WMA
3,"ABERGELE, CONWY",154486,53.284355,-3.581405,3.0,T
3,"ABERGELE, DENBIGHSHIRE",212550,53.284355,-3.581405,3.0,T
1,"ABERYSTWYTH, CEREDIGION",197828,52.41530299999999,-4.08292,2.3333333333333335,TML
1,"ABINGDON, BEDFORD",324950,52.1386394,-0.4667782,2.2,STMLA
2,"ABINGDON, OXFORDSHIRE",344658,51.67078,-1.2879529,5.0,W
1,"ACCRINGTON, BLACKBURN WITH DARWEN",115250,53.753609,-2.37218,1.6666666666666667,DLA
1,"ACCRINGTON, LANCASHIRE",124546,53.753609,-2.37218,1.6666666666666667,DLA
3,"ADDLESTONE, SURREY",355816,51.369813,-0.488641,2.6,WSMLA
2,"ALCESTER, WARWICKSHIRE",262013,52.215311,-1.867605,5.0,W
2,"ALCESTER, WORCESTERSHIRE",368235,52.215311,-1.867605,5.0,W
2,"ALDERLEY EDGE, CHESHIRE EAST",422503,53.301554,-2.237216,3.6666666666666665,WSM
3,"ALDERSHOT, HAMPSHIRE",240701,51.248366,-0.7557509,2.5,STML
3,"ALDERSHOT, SURREY",305148,51.248366,-0.7557509,2.5,STML
1,"ALFRETON, DERBYSHIRE",148135,53.09744999999999,-1.382256,1.6666666666666667,TLA
1,"ALFRETON, NOTTINGHAMSHIRE",96583,53.1006899,-1.3698512,1.6666666666666667,TLA
1,"ALNWICK, NORTHUMBERLAND",216290,55.412744,-1.706299,2.0,SMLA
3,"ALTON, HAMPSHIRE",363756,51.150719,-0.973177,3.0,WSA
