Location,Avg Price,Latitude,Longitude,Profile Score,Profile
"ABERDARE, POWYS",292083,51.716154,-3.451816,2.3333333333333335,TDL
"ABERDARE, RHONDDA CYNON TAFF",128941,51.716154,-3.451816,2.3333333333333335,TDL
"ABERGAVENNY, BLAENAU GWENT",260000,51.7714428,-3.2458735,2.0,TMLA
"ABERGAVENNY, CARDIFF",180000,51.8220025,-3.0198044,3.0,WMA
"ABERGAVENNY, MONMOUTHSHIRE",236046,51.825366,-3.019423,3.0,WMA
"ABERGELE, CONWY",154486,53.284355,-3.581405,3.0,T
"ABERGELE, DENBIGHSHIRE",212550,53.284355,-3.581405,3.0,T
"ABERYSTWYTH, CEREDIGION",197828,52.41530299999999,-4.08292,2.3333333333333335,TML
"ABINGDON, BEDFORD",324950,52.1386394,-0.4667782,2.2,STMLA
"ABINGDON, OXFORDSHIRE",344658,51.67078,-1.2879529,5.0,W
"ACCRINGTON, BLACKBURN WITH DARWEN",115250,53.753609,-2.37218,1.6666666666666667,DLA
"ACCRINGTON, LANCASHIRE",124546,53.753609,-2.37218,1.6666666666666667,DLA
"ADDLESTONE, SURREY",355816,51.369813,-0.488641,2.6,WSMLA
"ALCESTER, WARWICKSHIRE",262013,52.215311,-1.867605,5.0,W
"ALCESTER, WORCESTERSHIRE",368235,52.215311,-1.867605,5.0,W
"ALDERLEY EDGE, CHESHIRE EAST",422503,53.301554,-2.237216,3.6666666666666665,WSM
"ALDERSHOT, HAMPSHIRE",240701,51.248366,-0.7557509,2.5,STML
"ALDERSHOT, SURREY",305148,51.248366,-0.7557509,2.5,STML
"ALFRETON, DERBYSHIRE",148135,53.09744999999999,-1.382256,1.6666666666666667,TLA
"ALFRETON, NOTTINGHAMSHIRE",96583,53.1006899,-1.3698512,1.6666666666666667,TLA
"ALNWICK, NORTHUMBERLAND",216290,55.412744,-1.706299,2.0,SMLA
"ALTON, HAMPSHIRE",363756,51.150719,-0.973177,3.0,WSA
"ALTRINCHAM, CHESHIRE EAST",449859,53.38690459999999,-2.3488983,3.0,WSDA
"ALTRINCHAM, GREATER MANCHESTER",329720,53.38690459999999,-2.3488983,3.0,WSDA
"AMERSHAM, BUCKINGHAMSHIRE",484777,51.6755179,-0.6072409999999999,3.0,T
"AMMANFORD, CARMARTHENSHIRE",138778,51.792888,-3.988459,2.0,TL
"AMMANFORD, NEATH PORT TALBOT",103161,51.7956806,-3.996750199999999,2.0,TL
"AMMANFORD, SWANSEA",148333,51.62144,-3.943645999999999,2.2,STMLA
"ANDOVER, HAMPSHIRE",265608,51.2111975,-1.4919233,2.6666666666666665,WSTDLA
"ANDOVER, SOUTHAMPTON",238000,50.9120624,-1.4218703,2.6666666666666665,WSTDLA
"ANDOVER, WILTSHIRE",224367,51.2090925,-1.5215517,2.6666666666666665,WSTDLA
"ASCOT, BRACKNELL FOREST",407860,51.4062365,-0.6755624,3.0,T
"ASCOT, SURREY",559735,51.4062365,-0.6755624,3.0,T
"ASCOT, WINDSOR AND MAIDENHEAD",513034,51.4062365,-0.6755624,3.0,T
"ASHBOURNE, DERBYSHIRE",287197,53.016626,-1.732179,3.0,WSA
